A0A6I5IZE3	A0A7Y3R387
A0A6I5IZE3	A0A7Y3VCV7
A0A6I6DE39	A0A6I6DE39
A0A6I6DFP7	A0A6I6DFP7
A0A6I6DJY0	A0A6I6DJY0
A0A6J4CXW2	A0A6J4CXW2
A0A6L3ETD1	A0A6L3ETD1
A0A6L3SUM2	A0A6L3SUM2
A0A6L3VEQ8	A0A6L3VEQ8
A0A6L4AF29	A0A6L4AF29
A0A6L4AIK2	A0A6L4AIK2
A0A6L4AJ02	A0A6L4AJ02
A0A6L4AJ70	A0A6L4AJ70
A0A6L4AJA5	A0A6L4AJA5
A0A6L4AJJ8	A0A6L4AJJ8
A0A6L4AJN5	A0A6L4AJN5
A0A6L4AJZ3	A0A6L4AJZ3
A0A6L4AMU0	A0A6L4AMU0
A0A6L4AQZ1	A0A6L4AQZ1
A0A6L4AR85	A0A6L4AR85
A0A6L4AS30	A0A6L4AS30
A0A6L4ATV6	A0A6L4ATV6
A0A6L5WHN8	A0A6L5WHN8
A0A6L5XH84	A0A6L5XH84
A0A6L5XJJ7	A0A6L5XJJ7
A0A6L5XK99	A0A6L5XK99
A0A6L5XLF8	A0A6L5XLF8
A0A6L5YAE6	A0A6L5YAE6
A0A6L5YAE6	A0A3A9HL32
A0A6L5YC93	A0A6L5YC93
A0A6L5YC93	A0A3A9HX78
A0A6L5YEK7	A0A6L5YEK7
A0A6L5YEK7	A0A3A9HG61
A0A6L5YFL0	A0A6L5YFL0
A0A6L5YFL0	A0A3A9HUU8
A0A6L6YBJ9	A0A6L6YBJ9
A0A6L6YBJ9	A0A5C9AQ26
A0A6L6YBJ9	A0A6L6YF85
A0A6L7CKD4	A0A6L7CKD4
A0A6L7CKD4	A0A5C9ADJ6
A0A6L7CKD4	A0A6L6ZU21
A0A6L7CKD4	A0A8T6BVM4
A0A6L7ISC2	A0A6L7ISC2
A0A6L7ISC2	A0A3N0IV71
A0A6L7NBF2	A0A6L7NBF2
A0A6L7U306	A0A6L7U306
A0A6L7WCV8	A0A6L7WCV8
A0A6L7WCV8	A0A6B1BQ88
A0A6L7WCV8	A0A7X4JSZ3
A0A6L7WCV8	A0A9E4BVG0
A0A6L7Y1R1	A0A6L7Y1R1
A0A6L9IWY0	A0A6L9IWY0
A0A6L9J3C9	A0A6L9J3C9
A0A6L9J5N0	A0A6L9J5N0
A0A6L9LTM6	A0A6L9LTM6
A0A6L9LU50	A0A6L9LU50
A0A6L9LVD7	A0A6L9LVD7
A0A6L9LYT7	A0A6L9LYT7
A0A6L9M1H7	A0A6L9M1H7
A0A6L9M4A0	A0A6L9M4A0
A0A6L9M4V8	A0A6L9M4V8
A0A6M0GZ83	A0A6M0GZ83
A0A6M0H1B5	A0A6M0H1B5
A0A6M0H2Z7	A0A6M0H2Z7
A0A6M0H5E9	A0A6M0H5E9
A0A6M0Q3U2	A0A6M0Q3U2
A0A6M0QBA4	A0A6M0QBA4
A0A6M0R784	A0A6M0R784
A0A6M0R784	A0A6M0R8E6
A0A6M0R7E5	A0A6M0R7E5
A0A6M0R7G0	A0A6M0R7G0
A0A7X8FT10	A0A7X8FT10
A0A7X8G385	A0A7X8G385
A0A7X8GI40	A0A7X8GI40
A0A7X8GNH8	A0A7X8GNH8
A0A7X8HKS7	A0A7X8HKS7
A0A7X8HKS7	A0A7V6LAI4
A0A7X8HN55	A0A7X8HN55
A0A7X8HNY5	A0A7X8HNY5
A0A7X8I1E3	A0A7X8I1E3
A0A7X8I206	A0A7X8I206
A0A7X8I7N8	A0A7X8I7N8
A0A7X8I949	A0A7X8I949
A0A7X8ISC5	A0A7X8ISC5
A0A7X8J090	A0A7X8J090
